father,startEp,endEp,season,episodeNote
Robert Kelly,184,184,1,
Park Gun-hyung,185,186,1,
Outsider,191,192,1,
Viktor Ahn,202,204,1,
Park Hyun-bin,213,214,1,
Moon Sung-min,224,225,1,special appearances
Moon Sung-min,239,239,1,special appearances
Jo Jung-chi,227,228,1,
Kang Hyung-wook,231,232,1,
Yang Joon-mu,235,236,1,
Jo Sung-mo,252,253,1,
Jo Sung-mo,265,265,1,
Shim Ji-ho,264,264,1,
Shim Ji-ho,269,269,1,
Shim Ji-ho,272,272,1,
